주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,관리기관명,전화번호
국민체육센터 주차장(화물),공영,노외,강원도 원주시 남원로 565,강원도 원주시 명륜동 561,30,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
우산동 주민센터앞 주차장,공영,노외,강원도 원주시 진광길 9,강원도 원주시 우산동 102-3,124,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
태장1동 유휴지 주차장,공영,노외,강원도 원주시 천사로 291,강원도 원주시 태장동 756-2,10,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
북원상가 공영주차장,공영,노외,강원도 원주시 태장둔치길 11,강원도 원주시 태장동 1381-8,32,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
치악산국립공원주차장,공영,노외,강원도 원주시 소초면 무쇠점2길 44,강원도 원주시 소초면 학곡리 890-1,693,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
송학로 노상주차장,공영,노상,강원도 평창군 평창읍 송학로 71,강원도 평창군 평창읍 하리 210-10,28,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
중앙로 노상주차장,공영,노상,강원도 평창군 평창읍 평창중앙로 66,강원도 평창군 평창읍 하리 165-1,53,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
백오로 노상주차장,공영,노상,강원도 평창군 평창읍 백오로 6,강원도 평창군 평창읍 하리 76-3,64,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
군청앞 노상주차장,공영,노상,강원도 평창군 평창읍 군청길 77,강원도 평창군 평창읍 하리 210-2,35,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
유존빌라앞 노상주차장,공영,노상,강원도 평창군 평창읍 백오로 205,강원도 평창군 평창읍 중리 282-1,13,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
봉산동 간이주차장,공영,노외,강원도 원주시 임윤지당길 31,강원도 원주시 봉산동 1144-14,25,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
무실동 이화마을2 주차장,공영,노외,강원도 원주시 이화4길 28,강원도 원주시 단계동 920,45,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
두레아트빌 옆 주차장,공영,노외,강원도 평창군 평창읍 노성2길 60,강원도 평창군 평창읍 중리 102,16,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
송정택지 2주차장,공영,노외,강원도 평창군 진부면 송정택지2길 33-10,강원도 평창군 진부면 송정리 2529-2,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
송정택지 3주차장,공영,노외,강원도 평창군 진부면 송정택지1길 52-9,강원도 평창군 진부면 송정리 2540,36,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
송정택지 4주차장,공영,노외,강원도 평창군 진부면 송정택지1길 52-9,강원도 평창군 진부면 송정리 2516-1,9,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
진부방앗간 앞 주차장,공영,노외,강원도 평창군 진부면 진부시장뒷길 15,강원도 평창군 진부면 하진부리 145-14,19,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
송정택지 5주차장,공영,노외,강원도 평창군 진부면 송정택지2길 31-9,강원도 평창군 진부면 송정리 2540,25,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
진부주공아파트 앞 주차장,공영,노외,강원도 평창군 진부면 경강로 3587,강원도 평창군 진부면 하진부리 123-1,166,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
대관령파출소 뒤 주차장,공영,노외,강원도 평창군 대관령면 대관령로 91-8,강원도 평창군 대관령면 횡계리 665,25,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
황태회관앞주차장,공영,노외,강원도 평창군 대관령면 눈마을길 9,강원도 평창군 대관령면 횡계리 348-1,44,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
남안교위 둔치 주차장,공영,노외,강원도 평창군 봉평면 기풍3길 3,강원도 평창군 봉평면 창동리 435-1,420,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
장터주차장,공영,노외,강원도 평창군 봉평면 기풍3길 19,강원도 평창군 봉평면 창동리 396-38,170,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
면사무소 앞 주차장,공영,노외,강원도 평창군 봉평면 기풍4길 10,강원도 평창군 봉평면 창동리 345,19,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
봉평축협 앞 주차장,공영,노외,강원도 평창군 봉평면 동이장터길 26,강원도 평창군 봉평면 창동리 379-1,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
고려회관 앞 주차장,공영,노외,강원도 평창군 용평면 금송1길 19-7,강원도 평창군 용평면 장평리 349-3,18,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
장평장로교회 앞 주차장,공영,노외,강원도 평창군 용평면 금송2길 20-6,강원도 평창군 용평면 장평리 375-3,34,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
진부주공아파트 뒤 주차장,공영,노외,강원도 평창군 진부면 진부중앙로 46,강원도 평창군 진부면 하진부리 13-7,20,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
제일교회 앞 주차장,공영,노외,강원도 평창군 평창읍 노성2길 10,강원도 평창군 평창읍 중리 298-4,20,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
진부전통시장 주차장,공영,노외,강원도 평창군 진부면 진부시장뒷길 27,강원도 평창군 진부면 하진부리 206-17,50,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
진부고등학교 앞 주차장,공영,노외,강원도 평창군 진부면 청송로 64,강원도 평창군 진부면 하진부리 164-12,8,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
백도해변,공영,노외,강원도 고성군 죽왕면 문암항길 133,강원도 고성군 죽왕면 문암진리 19-3,212,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
토성면행정복지센터,공영,부설,강원도 고성군 토성면 천진해변길 88,강원도 고성군 토성면 천진리 131,85,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3902
천진해변,공영,노외,강원도 고성군 토성면 천진해변길 46,"강원도 고성군 토성면 천진리 111-4,111-5",159,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
아야진해변,공영,노외,강원도 고성군 토성면 아야진해변길,강원도 고성군 토성면 아야진리 249-2,164,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
봉포항,공영,노외,강원도 고성군 죽왕면 오호길11,강원도 고성군 토성면 봉포리 1-7,122,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3642
아리 경로당 앞,공영,노외,강원도 화천군 화천읍 하리 99-19,강원도 화천군 화천읍 하리 99-19,7,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
죽왕면복지회관,공영,부설,강원도 고성군 죽왕면 심층수길 36,강원도 고성군 죽왕면 오호리 54-4,93,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3883
송지호철새관망타워,공영,노외,강원도 고성군 죽왕면 동해대로 6021,강원도 고성군 죽왕면 오봉리 9-34,81,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3362
봉수대해변,공영,노외,강원도 고성군 죽왕면 봉수대길 10-22,강원도 고성군 죽왕면 오호리 68-5,152,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
송지호 해변,공영,노외,강원도 고성군 토성면 심층수길 63-1,"강원도 고성군 죽왕면 오호리 243-1,244",453,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
공현진 해변,공영,노외,강원도 고성군 죽왕면 공현진해변길 52,강원도 고성군 죽왕면 공현진리 431-20,66,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
거진8리 해변,공영,노외,강원도 고성군 거진읍 거진항길 13,강원도 고성군 거진읍 거진8리 287-130,116,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
거진11리 해변,공영,노외,강원도 고성군 거진읍 행랑골4길 2-8,강원도 고성군 거진읍 거진11리 22-28,53,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
화진포 해변,공영,노외,강원도 고성군 거진읍 화진포길 330,강원도 고성군 거진읍 화포리 516-1,430,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
대진 금강산횟집 앞,공영,노외,강원도 고성군 현내면 한나루로2길 7,강원도 고성군 현내면 대진3리 27-20,35,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3746
대진2리 주차장,공영,노외,강원도 고성군 현내면 한나루로3길 19,강원도 고성군 현내면 대진리 80,32,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3632
대진3리 주차장,공영,노외,강원도 고성군 현내면 한나루로2길 6,강원도 고성군 현내면 대진리 179,22,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3746
명파리해변,공영,노외,강원도 고성군 현내면 명파4길 43,강원도 고성군 현내면 명파리 230-11,104,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3356
화진포해양박물관,공영,노외,강원도 고성군 현내면 화진포길 412,강원도 고성군 현내면 초도리 94-3,240,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3362
죽왕면사무소,공영,부설,강원도 고성군 죽왕면 오호길11,강원도 고성군 죽왕면 오호리 163,36,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 고성군청,033-680-3642
지방행정동우회 맞은편,공영,노외,강원도 영월군 영월읍 단종로34번길 54-88,강원도 영월군 영월읍 영흥리 967-5,10,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
엄흥도기념관,공영,노외,강원도 영월군 영월읍 보덕사길 33-1,강원도 영월군 영월읍 영흥리 산 131-1,20,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
중앙시장 주상복합아파트 제3공영주차장,공영,노외,강원도 영월군 영월읍 제방안길 8,강원도 영월군 영월읍 영흥리 907-1,26,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
중앙시장 주상복합아파트 제2공영주차장,공영,노외,강원도 영월군 영월읍 영흥리 914-1,강원도 영월군 영월읍 영흥리 914-1,25,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
영월군청 앞 세무서간 도시계획도로 주변,공영,노외,강원도 영월군 영월읍 하송안길 19-16,강원도 영월군 영월읍 하송리 185-2,32,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
영흥리 제방주차장,공영,노외,강원도 영월군 영월읍 제방안길 30,강원도 영월군 영월읍 영흥리 923,74,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
서부시장 주차장(신설),공영,노외,강원도 영월군 영월읍 중앙1로 4,강원도 영월군 영월읍 하송리 184-14,56,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
하동마트 건너편,공영,노외,강원도 영월군 산솔면 영월동로 3086,강원도 영월군 산솔면 녹전리 798,16,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
송학주천로 1759 (영월버섯 관광농원),공영,노외,강원도 영월군 주천면 송학주천로 1759,강원도 영월군 주천면 주천리 571-1,18,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
법흥로 1230 / 구봉산휴게소,공영,노외,강원도 영월군 수주면 법흥로 1230,강원도 영월군 무릉도원면 법흥리 966-6,15,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
운학1리 버스승강장 인근 (운학보건진료소 아래),공영,노외,강원도 영월군 수주면 덕은골길 4,강원도 영월군 무릉도원면 운학리 852-8,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
운학2리 입구,공영,노외,강원도 영월군 수주면 주천강로 71,강원도 영월군 무릉도원면 운학리 1172,6,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
학산천부녀회,공영,노외,강원도 영월군 수주면 덕은골길 4,강원도 영월군 무릉도원면 운학리 823-4,14,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
을밀대,공영,노외,강원도 영월군 영월읍 영월로 2375-8,강원도 영월군 영월읍 연하리 830,506,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
영월역,공영,노외,강원도 영월군 영월읍 영월로 2110,강원도 영월군 영월읍 덕포리 507,132,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
영월시네마 앞 제2주차장,공영,노외,강원도 영월군 영월읍 관풍헌길 65,강원도 영월군 영월읍 영흥리 971-3,30,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
영월시네마 앞 제1주차장,공영,노외,강원도 영월군 영월읍 관풍헌길 68,강원도 영월군 영월읍 영흥리 983-1,10,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
운학3리 경로당 앞,공영,노외,강원도 영월군 무릉도원면 도원운학로 2053,강원도 영월군 무릉도원면 운학리 1454-4,7,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
창절서원주차장,공영,노외,강원도 영월군 영월읍 단종로 62-7,강원도 영월군 영월읍 영흥리 1062-5,87,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
동부감리교회 맞은편,공영,노외,강원도 영월군 영월읍 느티나무길 13,강원도 영월군 영월읍 덕포리 795-2,17,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
장가네흑염소숯불구이 위,공영,노외,강원도 영월군 영월읍 요리골목길 12,강원도 영월군 영월읍 영흥리 927-13,15,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
백승야식 옆,공영,노외,강원도 영월군 영월읍 요리골목길 29,강원도 영월군 영월읍 영흥리 941-1,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
하나로마트 후면,공영,노외,강원도 영월군 영월읍 관풍헌길 16,강원도 영월군 영월읍 영흥리 925-28,10,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
천주교 영월천주교 아래,공영,노외,강원도 영월군 영월읍 중앙로 91-2,강원도 영월군 영월읍 영흥리 899-4,41,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
J클래식 뒤쪽,공영,노외,강원도 영월군 영월읍 하송로 123-4,강원도 영월군 영월읍 하송리 421-2,40,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
덕포지구(소로2-70) 노외주차장,공영,노외,강원도 영월군 영월읍 덕포하리1길 6,강원도 영월군 영월읍 덕포리 635-1,7,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
이화빌라 앞,공영,노외,강원도 영월군 영월읍 관풍헌길 97-6,강원도 영월군 영월읍 영흥리 968-1,8,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
해동주차장,민영,노외,강원도 원주시 서원대로 181,강원도 원주시 단계동 878-1,109,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
시외버스터미널주차장,민영,노외,강원도 원주시 서원대로 171,강원도 원주시 단계동 877-1,817,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
AJ파크원주단계점주차장,민영,노외,강원도 원주시 서원대로 156-1,강원도 원주시 단계동 879-6,24,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
삼광유료주차장,민영,노외,강원도 원주시 삼광2길 16,강원도 원주시 봉산동 1194-1,30,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
에이스주차타워,민영,노외,강원도 원주시 시청로 78,강원도 원주시 무실동 1641-12,31,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
잠보주차타워,민영,노외,강원도 원주시 시청로 76,강원도 원주시 무실동 1641-5,42,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
휴먼주차타워,민영,노외,강원도 원주시 만대공원길 8-10,강원도 원주시 무실동 1734-4,38,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
에스티에프주차타워,민영,노외,강원도 원주시 만대공원길 50,강원도 원주시 무실동 1726-6,121,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
무실동주차장,민영,노외,강원도 원주시 능라동길 60,강원도 원주시 무실동 1855-5,50,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
원주역주차장,민영,노외,강원도 원주시 평원로 158,강원도 원주시 학성동 413-4,34,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
학성공영주차장,공영,노외,강원도 원주시 학성길 120,강원도 원주시 학성동 223-75,115,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,강원도 원주시청,033-737-3544
문막공영주차장,공영,노외,강원도 원주시 문막읍 원문로 1890,강원도 원주시 문막읍 문막리 1044,229,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
동화리 공영주차장,공영,노외,강원도 원주시 문막읍 동화택지길 3-7,강원도 원주시 문막읍 동화리 1539-2,26,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
부론면 공영주차장,공영,노외,강원도 원주시 부론면 법천시장길 51-2,강원도 원주시 부론면 법천리 1449-1,60,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
흥업 공영주차장,공영,노외,강원도 원주시 흥업면 남원로 60,강원도 원주시 흥업면 흥업리 584-1,30,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
수정유료주차장,민영,노외,강원도 원주시 감영길 20,강원도 원주시 원동 5-27,9,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
남산주차장,민영,노외,강원도 원주시 원일로 53-1,강원도 원주시 원동 58-4,27,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
광진주차장,민영,노외,강원도 원주시 치악로 1817,강원도 원주시 인동 183,17,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
성지병원주차장,민영,노외,강원도 원주시 중앙로 38-2,강원도 원주시 인동 25-31,44,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
세창주차장,민영,노외,강원도 원주시 개봉길 12,강원도 원주시 개운동 384-22,23,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
개운현대주차장,민영,노외,강원도 원주시 치악로 1771,강원도 원주시 개운동 124-6,25,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
21세기유료주차장,민영,노외,강원도 원주시 남원로534번길 28,강원도 원주시 단구동 1514-1,64,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
아울렛 주차장,민영,노외,강원도 원주시 단구로 354-17,강원도 원주시 단구동 1610-5,180,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
양지주차장,민영,노외,강원도 원주시 무실로 25-1,강원도 원주시 일산동 12-11,16,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
롯데주차장,민영,노외,강원도 원주시 무실로12번길 45,강원도 원주시 일산동 362,35,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
현대주차장,민영,노외,강원도 원주시 천사로 198,강원도 원주시 일산동 193-21,17,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
대교(신세계)주차장,민영,노외,강원도 원주시 천사로 202,강원도 원주시 일산동 193-12,16,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
원주주차장,민영,노외,강원도 원주시 무실로12번길 39,강원도 원주시 일산동 70-8,40,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
제일신협주차장,민영,노외,강원도 원주시 무실로 16-1,강원도 원주시 일산동 89-1,19,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
제일주차장,민영,노외,강원도 원주시 일산로 34,강원도 원주시 일산동 119-1,50,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
원주기독병원주차장,민영,노외,강원도 원주시 일산로 20,강원도 원주시 일산동 97-3,905,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
원주주차타워,민영,노외,강원도 원주시 장미공원길 65,강원도 원주시 단계동 864,159,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,강원도 원주시청,033-737-3544
오대천둔치주차장,공영,노외,강원도 평창군 진부면 경강로 3554,강원도 평창군 진부면 하진부리 1289-46,167,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
대화전통시장 주차장,공영,노외,강원도 평창군 대화면 대화3길 34,강원도 평창군 대화면 대화리 1001-50,9,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
면사무소앞주차장,공영,노외,강원도 평창군 진부면 석두산2길 13,강원도 평창군 진부면 하진부리 171-3,30,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
대화전통시장입구주차장,공영,노외,강원도 평창군 대화면 대화시장2길 23-3,강원도 평창군 대화면 대화리 1001-215,12,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
하진부리(구터미널)주차장,공영,노외,강원도 평창군 진부면 진부시장뒷길 66,강원도 평창군 진부면 하진부리 206-131,35,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
대화면 공원주차장,공영,노외,강원도 평창군 대화면 대화중앙로 95,강원도 평창군 대화면 대화리 967-1,29,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
진부초교앞 주차장,공영,노외,강원도 평창군 진부면 진부새싹길 42,강원도 평창군 진부면 하진부리 206-11,24,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
문화마을 2주차장,공영,노외,강원도 평창군 대화면 문화택지길 58,강원도 평창군 대화면 대화리 1962-1,30,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
송정택지 주차공원,공영,노외,강원도 평창군 진부면 송정택지2길 28-20,강원도 평창군 진부면 송정리 2535-1,8,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
문화마을 3주차장,공영,노외,강원도 평창군 대화면 문화택지길 58,강원도 평창군 대화면 대화리 1959,16,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
하진부리(태백주유소뒤)주차장,공영,노외,강원도 평창군 진부면 진부중앙로 100-5,강원도 평창군 진부면 하진부리 1289-30,17,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
계촌초등학교 정문 주차장,공영,노외,강원도 평창군 방림면 계촌길 61,강원도 평창군 방림면 계촌리 1486-1,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
계방산 주차장,공영,노외,강원도 평창군 용평면 운두령로 743,강원도 평창군 봉평면 노동리 159,30,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
