거리명,거리소개,소재지도로명,소재지지번주소,관리기관전화번호
북성공구골목,"국산공구가 생산되지 않던 1947년경 지금의 인교동 달성공원 입구 골목(당시 푸른다리)에서 미군부대로부터 불하된 폐공구를 수집하던 11명이 영업을 시작하게 된 것이 시초가 되었고, 기계공업의 발달로 관련업소가 계속 늘어나 집단상가를 이루면서 오늘날의 공구골목이 형성되었습니다. 현재 400여개의 업체가 각종 산업용 공구를 판매하고 있으며 공구골목의 역사와 애환을 담은 북성로공구박물관이 개관되었습니다.",대구광역시 중구 북성로 65-2,대구광역시 중구 북성로2가 61,053-661-2643
약전골목,"남성로 중앙치안센터 맞은편에는 170여개의 한약방과 한의원이 즐비하게 늘어서 있습니다. 도로를 따라 600여미터나 이어지는 이 약전골목은 조선시대(효종9년,1658년)에 개설된 약령시에 기원을 두고 있습니다. 대구는 약재의 본산지인 경상도를 배후에 두고 낙동강을 통한 운송도 수월하여 약령시가 자연스럽게 형성되었습니다. 조선시대 대구 약령시는 약재 수확기인 봄, 가을에 맞추어 한해에 두 번씩 열렸는데 성시를 이룰 때는 대구인구보다 약령시 출시자가 많을 정도였다고 합니다. 그러나 서양의 양약이 보급되고 일제의 탄압정책이 가중되면서 약령시는 점차 쇠퇴의 길로 들어서고 현재 자리에 약전골목이 조성되어 맥을 잇고 있습니다. 근래 들어 한약에 대한 일반인의 관심이 높아지면서 약전골목은 옛 명성을 회복하고 있고, 매년 5월의 약령시축제와 2003년 한방특구 지정, 약령시한의약박물관 건립으로 새롭게 활기를 띄고 있습니다. 약령시회관 2층의 약령시전시관에서는 인삼,산삼,녹용,해마 등 각종 한약재를 비롯하여 [동의보감], [동의수세보원] 등의 한의서와 약연, 약작두 등의 한방기구 등 한방관련용품 300여 점이 전시되어 있습니다.",대구광역시 중구 남성로 25,대구광역시 중구 남성로 51-6,053-661-2643
인교동오토바이골목,"이 곳은 본래 하천이 흐르던 지역이었으나 1953년 하천이 복개되고 1961년 인교동 154번지 서울오토바이상회를 시작으로 오토바이 관련상가가 밀집되면서 오늘날의 오토바이골목이 형성 되었습니다. 서울, 대전의 오토바이상가와 함께 전국의 대표적인 오토바이골목으로 현재 60여개 관련 업소가 영업 중에 있으며, 저렴한 가격으로 다양한 오토바이를 판매하고 있어서 많은 사람들이 찾고 있습니다.",대구광역시 중구 서성로13길 64,대구광역시 중구 시장북로 20-2,053-661-2643
화평동 냉면거리,세숫대야 냉면으로 유명한 특색음식거리,인천광역시 동구 화평로 10,인천광역시 동구 화평동 531-100,032-770-6523
류현진 거리,류현진 선수와 야구를 상징할 수 있는 대표거리(동산로 및 새천년로),인천광역시 동구 동산로 58,인천광역시 동구 송림동 97-12,032-770-6103
삼가면 도시재생 특화거리,"삼가 한우 식당이 밀집한 거리를 한우테마로 특화거리를 조성한 것으로 한우거리 상점 및 식당과의 경관 협정을 통한 가로환경의 통일성 추구 및 경관 개선하였으며, 거리 경관 개선, 간판 정비, 가로시설물 정리, 보행환경 개선, 소공원 조성 등 백의종군 이순신장군을 주제로 한 테마거리를 조성하였음",경상남도 합천군 삼가면 삼가1로,경상남도 합천군 삼가면 일부리 949,055-930-3416
익산문화예술의거리,익산시 구도심 일원 KTX역세권과 연계한 주거문화상업 아트지구,전라북도 익산시 중앙로(중앙동2가),전라북도 익산시 중앙동2가 45,063-859-5826
박종철거리,민주열사 박종철을 기념하는 거리,서울특별시 관악구 대학5길,서울특별시 관악구 신림동 246-1,02-879-5603
광릉숲음식문화특화테마거리,"능안마을은 오랜 역사를 가진 집성촌이 아닌 6.25 전쟁이후 형성된 마을로 향토음식을 기반으로 16개의 업소가 영업중에 있으며, 인근에는 969년(광종 20)창건된 봉선사와 국립수목원과 광릉 및 크낙새서식지 등 관광자원이 풍부한 지역임",경기도 남양주시 진접읍 광릉수목원로 179-19,경기도 남양주시 진접읍 부평리 258-49,031-590-2237
진평음식문화특화거리,젊은층의 독특한 문화와 음식이 있는 거리 조성으로 관광 인프라 및 지역경제 활성화기여,경상북도 구미시 인동28길 20 일원,경상북도 구미시 진평동 79-4,054-480-5492
전자의거리,"가전제품,전자부품,음향기기,전기자재,CCTV,컴퓨터,영상 및 방송시설 등 전자상가 중심의 상점거리",광주광역시 동구 독립로264번길 25,광주광역시 동구 대인동 27,062-608-2715
아시아음식문화거리,각국의 음식과 문화를 맛보고 체험할 수 있는 음식테마거리 조성,광주광역시 동구 문화전당로35번길 18-1,광주광역시 동구 광산동 92-19,062-608-2413
예술의거리,"갤러리와 화방,표구점,골동품점, 소극장, 전통찻집이 모여있는 거리",광주광역시 동구 예술길 24,광주광역시 동구 궁동 52-2,062-608-2403
모다 먹거리,"쇼핑, 교통, 숙박시설 등 입지조건이 우수하고 다양한 메뉴의 120여개소의 음식점이 밀집되어 있는 거리",대구광역시 달서구 달서대로85길 9,대구광역시 달서구 호림동 22,053-667-2782
수밭골 웰빙음식거리,"농림축산식품부 주관 우수외식업지구로 선정되었으며 친환경, 우수농산물을 사용한 슬로우 푸드를 주로 판매하는 웰빙음식거리",대구광역시 달서구 수밭길 50,대구광역시 달서구 도원동 1119,053-667-2782
허준테마거리,의성 허준과 동의보감의 우수성과 가치를 강조한 상징물들로 꾸며진 강서구 대표 테마거리,서울특별시 강서구 양천로55길,서울특별시 강서구 가양동 1477-2,02-2600-6804
의정부부대찌개 거리,의정부시의 대표 음식인 부대찌개를 즐길 수 있는 거리,경기도 의정부시 호국로1297번길,경기도 의정부시 의정부동 214-4,031-846-9977
향촌동 수제화골목,"과거 향촌동 일대는 예술인들이 즐겨찾는 문화의 거리였습니다. 1970년대부터 수제화공장 및 전문점이 하나둘씩 들어서 1980년대 본격적으로 수제화 골목으로 불리기 시작했습니다. 현재 향촌동 점포 및 공장, 재료상, 구두수리점이 모여 있으며, 디자인, 재단, 미싱, 신발바닥 등 수제화 기술분야의 장인들이 순수 100프로 가죽 수제화를 생산하고 있습니다. 생산된 제품은 전국으로 납품하고 있습니다.",대구광역시 중구 서성로14길 78,대구광역시 중구 대안동 19-3,053-661-2643
향토음식거리,단양 향토음식(쏘가리) 특화 거리,충청북도 단양군 단양읍 수변로 111,충청북도 단양군 단양읍 별곡리 569-1,043-420-3322
천안가구웨딩거리,웨딩과 가구점이 밀집되어 있는 거리,충청남도 천안시 서북구 백석로,충청남도 천안시 서북구 성정동 683-12,041-521-5609
공구상가거리,공구상가가 밀집되어 있는 거리,충청남도 천안시 서북구 신용로,충청남도 천안시 동남구 다가동 368-39,041-521-5609
병천순대거리,순대국밥집이 밀집되어 있는 거리,충청남도 천안시 동남구 병천면 아우내순대길,충청남도 천안시 동남구 병천면 병천리 289-14,041-521-5609
"국동 장어탕, 횟집거리","장어탕, 횟집 특화음식",전라남도 여수시 어항단지로 13+전라남도 여수시 어항단지로 63-3,전라남도 여수시 국동 1082-7+전라남도 여수시 국동 1082-51,061-659-4350
봉산동 게장백반거리,"간장게장, 양념게장 특화음식",전라남도 여수시 봉산남4길 12 + 전라남도여수시 봉산남3길 19,전라남도 여수시 봉산동 282-10+전라남도 여수시 봉산동 265-23,061-659-4350
좌수영음식문화거리,"장어탕, 서대회 특화음식",전라남도 여수시 중앙로 72-16 +전라남도 여수시 교동남1길 6-17,전라남도 여수시 중앙동 775+전라남도 여수시 교동 572-2,061-659-4350
덕양곱창전골거리,"곱창전골, 막창구이 특화음식",전라남도 여수시 소라면 하세동길 8-1 +전라남도 여수시 소라면 덕양로 448-2,전라남도 여수시 덕양리 1271+전라남도 여수시 덕양리 1275,061-659-4350
"학동, 선소 퓨전 음식거리","한식, 양식, 일식 퓨전 특화음식","전라남도 여수시 시청동3길 3, 1층 +전라남도 여수시 시청동3길 34",전라남도 여수시 학동 85-12+전라남도 여수시 학동 177-7,061-659-4350
해양공원 해물삼합거리,해물삼합 특화음식,"전라남도 여수시 이순신광장로 137, 제1동 2층 +전라남도 여수시 하멜로 102",전라남도 여수시 중앙동 266+전라남도 여수시 종화동 292-1,061-659-4350
나무전거리,"목재,문짝,씽크대,합판 등을 취급하고 창호를 비롯한 문 가공하는 거리",광주광역시 동구 경양로 300-1,광주광역시 동구 동명동 253-1,062-608-2715
미음나루음식문화특화거리,"미음나루는 조선시대 이전부터 한강을 오가는 배들의 중간 쉼터이자, 지금의 남양주시와 하남시의 미사리를 건너던 곳이었다. 그 덕에 사람의 왕래가 많아 이들을 대상으로 한 주막들이 꽤나 번성 했다. 안동김씨 후손의 호를 따서 이름이 붙혀진 나루터로 현재는 예전의 뱃사공 은 사라지고 한강변을 따라 드라이브를 즐기러 온 사람들이 뱃사공을 대신한다. 인근 야산에 축조된 수석리 토성은 삼국시대에는 한강변을 지키는 전략적 요충지의 일환으로 중요시 되었던 곳으로 여겨진다. 이곳 미음나루풍속마을 주변에는 매운탕과 장어구이 등 음식점이 30여개가 밀집되어 있고 분위기 있는 까페와 한정식 집들이 미식가들의 입맛을 돋우고 있으며 철에 따라 변화하는 강변의 풍광과 한강의 야경을 즐기려는 많은 사람들의 발걸음이 끊이질 않고 있다.",경기도 남양주시 강변북로 632번길 26(수석동),경기도 남양주시 수석동 168,031-590-2237
삼봉리 음식문화마을,"북한강변에 위치한 삼봉리 음식문화 마을은 수려한 자연환경과 영화촬영소, 유기농테마파크, 다산 정약용 유적지, 북한강 수상스키장, 자전거도로 등의 관광자원을 가지고 있는 지역으로 20여개의 음식점과 10여개의 까페들이 영업중에 있으며  특히 이 지역의 식당들은 직접재배하고 가꾼 농산물을 가지고 조리판매를 하고 있어 꾸준히 외식관광객들이 찾고 있음",경기도 남양주시 조안면 북한강로 856,경기도 남양주시 조안면 삼봉리 277-1,031-590-2237
라페스타 문화의 거리,"총 6개동, 2만여 평의 초대형 쇼핑몰로 패션 상가 및 음식점, 다양한 공연 등이 펼쳐지는 젊음의 거리",경기도 고양시 일산동구 중앙로 1275번길 60-30,경기도 고양시 일산동구 장항동 768,031-920-9600
덕이동 패션 아울렛,패션의류 및 잡화업종 유명 브랜드 할인점이 다수 입점한 쇼핑의 거리,경기도 고양시 일산서구 탄중로101번길 13,경기도 고양시 일산서구 덕이동 384-1,031-925-0606
화정문화의거리,덕양구 화정역을 중심으로 재미있는 길거리 공연과 쇼가 펼쳐지는 젊음의 거리,경기도 고양시 화정로 63,경기도 고양시 덕양구 화정동 963,031-936-9344
노량진 컵밥거리,"노점으로 인한 보행불편, 위생, 안전 등 다양한 문제해결을 위해 좁은 보도에 밀집한 노점들을 보도공간이 넓은 곳으로 이전하여 ‘거리가게 특화거리’ 조성",서울특별시 동작구 노량진로 178,서울특별시 동작구 노량진동 148-88,02-820-9152
장안문거북시장길,30년 이상된 점포들이 대부분이며 설렁탕 곱창 보쌈 등 한식 위주의 음식점이 많음,경기도 수원시 장안구 정조로934번길 일원(영화동),경기도 수원시 장안구 영화동 302,031-228-2228
파장천맛고을,콩요리 사골청국장 추어탕 오리고기 등 100㎡ 이상의 규모가 크고 오래된 전통음식점이 많음,경기도 수원시 장안구 파장천로 92 일원(파장동),경기도 수원시 장안구 파장동 328-1,031-228-2228
반딧불이 연무시장 낭만거리,오징어 요리 매운탕 스테이크 등 다양한 먹거리가 있음,경기도 수원시 장안구 월드컵로428번길 20 일원(연무동),경기도 수원시 장안구 연무동 236-1,031-228-2228
금곡동 어울림상가 음식문화거리,젊은층이 좋아하는 프랜차이즈 음식점 커피전문점 등이 많이 있음,경기도 수원시 권선구 금호로 73-17 일원(금곡동),경기도 수원시 권선구 금곡동 1136-1,031-228-2228
화성행궁맛촌거리,수원화성박물관 수원통닭거리 지동순대타운 등이 도보로 10분 이내 거리에 있어 관광객들이 꾸준히 찾아오고 있음.,경기도 수원시 팔달구 행궁로 28 일원(남창동),경기도 수원시 팔달구 남창동 91-3,031-228-2228
천천먹거리촌,한식 중식 일식 등을 취급하는 20년 이상된 먹거리촌으로 음식점과 한지 악기 건강식품점 등이 있으며 최근 젊은층이 선호하는 마카롱 와플 등의 까페들도 생기면서 남녀노소 즐길 수 있는 먹거리촌을 형성하고 있음.,경기도 수원시 장안구 덕영대로511번길 29-18 일원(천천동),경기도 수원시 장안구 천천동 507-14,031-228-2228
수원통닭거리,2019년 영화 극한직업에 수원의 대표 메뉴인 왕갈비와 통닭을 결합한 수원 왕갈비통닭이 나온 이후 통닭거리가 더 유명해져 많은 관광객이 찾고 있음.,경기도 수원시 팔달구 수원천로 311일원(남수동),경기도 수원시 팔달구 남수동 130-5,031-228-2228
호매실벚꽃음식문화거리,전국방방곡곡 특색있는 음식(경상도식 뭉티기 대구식 납작만두 충청도식 냉동삼겹살 제주도 특수돼지고기 전라도식 부침개 전국팔도 모듬 음식)을 넘어 세계적인 음식(중국 정통 양꼬치 경상원 청년창업사관학교 선정 퓨전음식 정통 이태리 파스타)까지 즐길수 있는 개성있고 경쟁력 있는 많은 음식점이 있음.,경기도 수원시 권선구 금곡로118번길 60(금곡동)일원,경기도 수원시 권선구 금곡동 1090-7,031-228-2228
행리단길 음식문화거리,화성행궁 근처에 행리단길이 조성되어 카페· 식당· 소품가게 등 데이트 코스로 각광받고 있음,경기도 수원시 팔달구 신풍로 47(신풍동) 일원,경기도 수원시 팔달구 신풍동 32-1,031-228-2228
장다리로 음식문화거리,갈비· 경양식· 칼국수집 등 대형 맛집을 중심으로 외식대표메뉴들이 밀집되어있음,경기도 수원시 팔달구 장다리로 231(인계동) 일원,경기도 수원시 팔달구 인계동 971-5,031-228-2228
남산인쇄골목,남산동 남문시장에서 계산오거리까지의 500여미터 남짓한 거리에는 각종 인쇄소와 기획사가 빽빽히 밀집해 있습니다. 인쇄골목은 1980년대초부터 서서히 형성되기 시작하여 1990년대 들어 급속한 팽창을 보였으며 현재 500여개의 업체가 영업중에 있습니다.,대구광역시 중구 명륜로6길 7-24,대구광역시 중구 남산동 247-12,053-661-2643
충무동 골목시장 고갈비특화거리,"충무동 골목시장에 추억의 향토음식인 고갈비를 특화한 거리로 골목시장 사거리에 있는 일명 파전골목을 기존 건물의 간판 등을 모두 철거·정비하고, 시장아치, 유도사인물 보수와 리모델링하여 고갈비전문 음식점 (12개 업소와 7개 이동식판매대)으로 변모하여 손님 맞이에 나서고 있다",부산광역시 서구 충무시장길 30(충무동1가),부산광역시 서구 충무동1가 29-1,051-240-4475
문화의거리,"울산동헌과 문화의거리가 상가 주변에 위치하고 있어 원도심 도보 여행 코스로 적정한 장소이며, 거리내 다수의 미술작품이 설치되어 있고 거점건물에는 파사드를 설치하여 볼거리가 풍부한 지역이다.  ○ 중앙길상가 내 문화의거리 주변에는 문화예술업종이 50개소(갤러리, 공방, 조각 등)가 입점되어 있으며, 2019년 올해의 관광도시로 지정된 지역이다.",울산광역시 중구 중앙길 119,울산광역시 중구 성남동 87-5,052-290-3660
용종마을 음식문화시범거리,"용종마을은 소문난 맛집이 많고, 웰빙 위주의 깔끔한 식단으로 가족 단위의 외식장소로 많은 사랑을 받고 있습니다.",인천광역시 계양구 용마루길,인천광역시 계양구 용종동 219-6,032-450-5424
보정동 카페거리,용인시 지정 1호 문화의 거리로 카페·레스토랑·의류 등 120여개의 점포가 밀집하였으며 각종 드라마·CF·화보 촬영장소로 더욱 유명해짐,경기도 용인시 기흥구 죽전로15번길 일원,경기도 용인시 기흥구 보정동 1185,031-324-2102
낙지특화거리,"버스터미널 주변상가 및 노점상에서 무안갯벌에서잡은 낙지를 요리 및 판매한는 사람들이 생겨나면서 낙지골목이란 명칭으로 불리우기 시작 현재 약 50여개상가중 39개 점포가 낙지 도소매 상가 및 낙지요리 식당입니다. 낙지요리에는 연포탕, 회무침, 비빔밥, 호롱 등이있습니다.",전라남도 무안군 무안로 497-1,전라남도 무안군 무안읍 성동리 1046,061-450-0518
송도꽃게거리,"꽃게의 제철에 송도유원지 앞에서 인천상륙작전기념관 앞까지 이르는 길에는 꽃게요리를 맛보려는 차량행렬과 사람물결이 이어진다. 이곳이 바로 꽃게탕을 주메 뉴로 하는 음식점이 밀집되어 있는 꽃게거리다. 인천 사람도 많지만 서울이나 인근 수도권에서 일부러 꽃게요리를 맛보기 위해 찾는 발길도 많다. 제철이 따로 있다지만 저장기술이 발달한 요즈음은 사시사철 속이 꽉 찬 꽃게를 맛볼 수 있다. 유원지와 기념관, 시립박물관 등이 지척이라 가족나들이 코스로도 손색없다.","인천광역시 연수구 능허대로217,인권로8,대암로22번길 일원","인천광역시 연수구 옥련동 555-2, 옥련동 550",032-749-7952
연수동 맛고을길,"음식문화시범거리는 연수동 소재의 음식점 밀집지역인 맛 고을길 을 중심으로 하여 상차림 간소화 운동을 비롯한 좋은 식단 운동을 실천하는 업소들을 선정하여 지정한 거리이다. 이 거리에서는 특색 있고 맛깔스러우면서도 안전한 먹거리를 제공하여 찾는 이들이 보다 수준 높은 음식문화를 누릴 수 있도록 할 것이다. 더불어 이곳에 오면 구이류, 찌게류, 회 등 다양한 음식으로 골고루 맛 볼 수 있다.","인천광역시 연수구 샘말로 21.30.38.43.44번길,청능대로 113번길 일원",인천광역시 연수구 연수동 628-12,032-749-7952
선학동음식문화시범거리,선학동 먹자거리,인천광역시 연수구 학나래로 6.14.22.46.118번길 일원,인천광역시 연수구 선학동 408-5,032-749-7952
오송도송음식문화특화거리,구(舊) 송도 지역의 음식과 문화가 어우러진 오송도송 음식문화 특화거리,인천광역시 연수구 능허대로 267,인천광역시 연수구 동춘동 812번지,032-749-7952
부평문화의거리,차없는 거리로 지정된 각종 공연과 다양한 문화활동이 펼쳐지고 있는 인천 최대 규모의 의류 중심 거리,인천광역시 부평구 부평문화로,인천광역시 부평구 부평동 201-141,032-509-6540
월곡동세계음식문화거리,다양한 국적의 음식점들이 한데 모인 세계문화음식테마거리,광주광역시 광산구 산정공원로,광주광역시 광산구 산정동 945-1,062-960-6857
문화의거리,공연+특산품 및 지역생산품 판매+각종 행사 등 문경의 문화를 느끼고 즐길 수 있는 거리,경상북도 문경시 중앙8길,경상북도 문경시 점촌동 268-46,054-550-6346
짬뽕특화거리,전통과 특색있는 군산의 짬뽕 관광자원을 활용 특화거리 조성,전북특별자치도 군산시 동령길 57,전북특별자치도 군산시 장미동 21-5,063-454-3413
걷고싶은거리,구도심 지역에 위치한 상가 밀집 거리,전북특별자치도 전주시 완산구 전주객사 4길+5길,전북특별자치도 전주시 완산구 고사동 203-6,063-281-5325
공구의거리,공구 관련 상가들이 밀집한 거리,전북특별자치도 전주시 완산구 대동로,전북특별자치도 전주시 완산구 고사동 227-19,063-281-5325
동문문화거리,한옥마을과 인접해 각종 문화시설 밀집,전북특별자치도 전주시 완산구 동문길,전북특별자치도 전주시 완산구 경원동2가 24-6,063-281-5325
영화의거리,구도심 영화관이 밀집한 거리,전북특별자치도 전주시 완산구 전주객사 3길+4길,전북특별자치도 전주시 완산구 고사동 362-3,063-281-5325
웨딩거리,웨딩관련 업종의 상가가 밀집,전북특별자치도 전주시 완산구 전라감영 2길+3길+4길+5길,전북특별자치도 전주시 완산구 중앙동3가 102-5,063-281-5325
차이나거리,중국 소주시와 자매결연을 기념으로 조성된 거리,전북특별자치도 전주시 완산구 전라감영 2길,전북특별자치도 전주시 완산구 다가동1가 44-1,063-281-5325
쌍화차거리,"난방시설이 잘되어 있지 않던 시절, 추운 겨울날 정읍경찰서 구치소에 수감된 사람들에게 몸을 녹이라고 가족들이 쌍화차를 사식으로 넣어주기 시작하면서부터 유래되었다고 전해짐",전북특별자치도 정읍시 중앙1길,전북특별자치도 정읍시 수성동 637-3,063-539-5602
익산문화예술의거리,익산시 구도심 일원 KTX역세권과 연계한 주거문화상업 아트지구,전라북도 익산시 중앙로(중앙동2가),전라북도 익산시 중앙동2가 45,063-859-5826
마지리벽화마을,말과 소로 대표되는 마을의 특성을 벽화로 표현,"경기도 파주시 적성면 솥뒤로 37번길, 57번길 일대","경기도 파주시 적성면 마지리 39번지, 172번지 일대",031-940-8189
EBS연풍길,연풍시장길에 EBS 콘텐츠를 도입하여 특화거리 조성,경기도 파주시 연풍5길 일원,경기도 파주시 파주읍 연풍리 299-5번지 일원,031-940-5722
장단콩 두부특화거리,파주시 지역특산물 장단콩을 활용하여 특색있는 두부 먹거리 촌으로 조성,경기도 파주시 법원읍 사임당로 809-1 ~ 827 일원,경기도 파주시 법원읍 대능리 94-192 ~ 94-38 일원,031-940-8466
전포카페거리,"번화가인 서면1번가 맞은편 쪽에는 아기자기하게 꾸며놓은 개성있는 카페 30여곳이 들어서 있는 카페거리는 원래 공구, 철물 등 산업용품 및 자재를 파는 가게들이 많던 공구상가 거리였으나 2010년 이후 아기자기한 카페들이 들어서면서 이색적인 카페거리로 불리고 있다.",부산광역시 부산진구 전포대로209번길 26,부산광역시 부산진구 전포동 682,051-605-5822
명품가로공원,"도심 속 일상생활에서 접할 수 있는 다양한 수목과 초화, 수경시설을 만날 수 있는 쉼터",부산광역시 사상구 광장로,부산광역시 사상구 괘법동 572-18,051-310-4536
삼락재첩거리,사상구의 유명 요리인 재첩국을 맛볼 수 있는 맛집이 모여 있는 거리,부산광역시 사상구 낙동대로1530번길,부산광역시 사상구 삼락동 69-9,051-310-4067
운연동 추어마을,"원래는 농촌마을이었으나 논에 미꾸라지가 많이 잡히면서 마을 주민들이 추어탕을 즐겨 만들어 먹었음. 서울식,남도식,원주식 등 손님의 입맛에 맞게 고를수 있는 추어탕 음식점이 밀집되어있어 2006년 특색음식거리로 지정",인천광역시 남동구 수인로 3536,인천광역시 남동구 운연동 40-15,032-453-8472
구월문예길음식문화1번가,"이 지역은 일명 구월동 밴댕이 골목으로 대형쇼핑몰, 문화예술회관 등이 밀집되어있어 문화와, 예술, 쇼핑을함께 즐길수 있는 곳으로 2002년 월드컵을 대비하여 2001년 특색음식거리로 지정",인천광역시 남동구 문화서로 4번길 61-16,인천광역시 남동구 구월동 1406-4,032-453-8472
소래포구신도로횟집거리,소래포구는 인천의 명소로 먹거리 발굴 및 육성을 위해 횟집 밀집지역인 신도로 지역을 2011년도에 특색음식거리로 지정,인천광역시 남동구 포구로 15,인천광역시 남동구 논현동 111-247,032-453-8472
구월로데오음식문화거리,"백화점, 터미널, 쇼핑센터, 음식점 등이 밀집한 지역으로 인천의 핫플레이스로 2019년 음식문화거리로 지정",인천광역시 남동구 성말로 10,인천광역시 남동구 구월동 1463번지,032-453-8472
맛고을 문화의 거리,100여개 점포중 50개소 이상 음식 상가 밀집지역의 음식 문화 거리,경상북도 예천군 예천읍 맛고을길 19,경상북도 예천군 예천읍 남본리 222-66,054-650-6231
걷고싶은거리,구도심 지역에 위치한 상가 밀집 거리,전라북도 전주시 완산구 전주객사 4길+5길,전라북도 전주시 완산구 고사동 203-6,063-281-5325
공구의거리,공구 관련 상가들이 밀집한 거리,전라북도 전주시 완산구 대동로,전라북도 전주시 완산구 고사동 227-19,063-281-5325
동문문화거리,한옥마을과 인접해 각종 문화시설 밀집,전라북도 전주시 완산구 동문길,전라북도 전주시 완산구 경원동2가 24-6,063-281-5325
영화의거리,구도심 영화관이 밀집한 거리,전라북도 전주시 완산구 전주객사 3길+4길,전라북도 전주시 완산구 고사동 362-3,063-281-5325
강릉월화거리,무월랑과 연화낭자의 이야기가 있는 명소거리,강원도 강릉시 경강로 2112,강원도 강릉시 임당동 113-2,033-640-5643
이순신대교 먹거리타운,이순신 대교 일대의 먹거리 타운,전라남도 광양시 발섬6길,전라남도 광양시 중동 1798,061-797-4052
진월망덕포구 먹거리타운,광양전어 축제가 열리는 망덕 포구 일대의 먹거리 타운,전라남도 광양시 진월면 망덕길,전라남도 광양시 진월면 망덕리 845-82,061-797-4052
서초음악문화지구,클래식 문화예술 특화거리,남부순환로317길,서울특별시 서초구 서초동 1475,02-2155-6202
이태원길,지역 상업지구 주변을 문화와 감성의 예술거리 브랜드화하여 새로운 젊음의 거리를 통한 지역경제 활성화,대구광역시 북구 동천로 129-16(일원),대구광역시 북구 동천동 903-2(일원),053-665-4322
꿈안전어울림꽃피는 여성친화 골목길,태안군 태안읍 동문2·4리에 위치한 대지길은 태안중학교 후문에서 시작해 터널길까지 약0.3km정도로 등하교를 하는 학생 뿐만 아니라 시내에 인접하여 마을 주민들도 많이 이용하는 거리로서  꽃과 함께 청소년 쉼터 테마거리로 조성하여 ① 청년층에게 새로운 문화의 장으로 ② 중장년층에는 옛시절 향수를 불러일으킬 수 있는 거리로 ▲ 모든 세대가 서로 공감하며 소통할 수 있는 문화공간,충청남도 태안군 태안읍 대지길 34,충청남도 태안군 태안읍 동문리 839-3,041-670-2277
독산성 음식문화거리,경기옛길삼남길7코스인 독산성자락 주변 둘레길을 따라 40여곳의 다양한 맛집거리,경기도 오산시 독산성길,경기도 오산시 지곶동 277-1,031-8036-6824
깔깔거리,구로디지털단지가 인접한 음식문화 특화거리,"서울특별시 구로구 디지털로32길, 디지털로32나길 일대",서울특별시 구로구 구로동 1124-7 (인근),02-860-3233
영덕대게거리,200여개의 대게상가들이 밀집해있는 음식테마거리,경상북도 영덕군 강구면 강구대게길 31-2,경상북도 영덕군 강구면 강구리 475,054-730-6393
남가람 문화거리,"역사, 문화, 예술도시인 진주의 전통과 독특한 문화적 개성을 지닌 도심속의 문화, 휴식공간",경상남도 진주시 강남로,"경상남도 진주시 칠암동 201-1,201-5",055-749-8592
염치한우촌,20여년전 아산 도축장이 있을 때 부터 자연적으로 형성된 한우 특화거리,충청남도 아산시 염치읍 염성길 105,충청남도 아산시 염치읍 염성리 264-1,041-540-2248
온주맛고을,새로이 조성된 먹거리촌으로 다양한 먹거리와 함께 각종 문화재 등 주변 볼거리를 즐길 수 있다.,충청남도 아산시 외암로 1400,충청남도 아산시 읍내동 288-3,041-540-2248
강릉월화거리,무월랑과 연화낭자의 이야기가 있는 명소거리,강원도 강릉시 경강로 2112,강원도 강릉시 임당동 113-2,033-640-5643
구룡포 일본인 가옥거리,일제강점기 때 일본인 집단 거주지,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,경상북도 포항시 남구 구룡포읍 구룡포리 153-1,054-270-2274
순천시 문화의 거리,"천년의 역사를 간직하고 있는 순천시의 영동 행동 금곡동 일원은 1309년 순천 지명이 처음 등장한 이후 현재까지 전남 동부권의 역사. 문화. 교육. 행정의 중심지였다.문화의 거리에는 옛 문화의 정취를 느낄 수 있는 700년 순천부읍성, 순천향교, 임청대 등 다양한 전통문화유산과 100년 전 미국선교사들이 순천에 자리 잡아 만들어진 근대기 마을 등 순천 사람들이 살아왔던 이야기와 풍경들이 있다.1000년을 넘게 이어져온 순천의 이야기는 도심의 현대화, 도시 중심기능 및 상권의 이동에 따라 쇠퇴하게 된다. 순천시는 원도시의 정체성을 되찾고 신시가지와 상생할 수 있는 방안으로 원도심이 가진 풍부한 역사문화자원을 활용하여 ’천년의 역사 문화가 숨 쉬는 거리’ 조성사업을 추진하였다.",전라남도 순천시 금곡길 28 일원,전라남도 순천시 행동 95,061-749-6802
