번호,구분,화장실명,소재지도로명주소,소재지지번주소,전화번호,개방시간상세
735,공중화장실,재정제2주유소 공중화장실,서울특별시 동대문구 사가정로 90(전농동),서울특별시 동대문구 전농동 295-12,02-2249-6682,24시간
736,공중화장실,동일석유㈜강남주유소 공중화장실,서울특별시 동대문구 사가정로 103(전농동),서울특별시 동대문구 전농동 295-478,02-3394-5183,24시간
737,공중화장실,㈜안국에너지 삼원주유소 공중화장실,서울특별시 동대문구 망우로 90,서울특별시 동대문구 휘경동 275-6,02-2244-1972,24시간
738,공중화장실,한영주유소 공중화장실,서울특별시 동대문구 망우로 38,서울특별시 동대문구 휘경동 317-87,02-2214-9890,24시간
739,공중화장실,㈜파랑에너지 공중화장실,서울특별시 동대문구 망우로 126,서울특별시 동대문구 휘경동 34-10,02-2242-5145,24시간
740,공중화장실,삼영주유소 공중화장실,서울특별시 동대문구 답십리로 258,서울특별시 동대문구 장안동 387-1,02-2217-2017,24시간
741,공중화장실,㈜자연에너지 국민주유소 공중화장실,서울특별시 동대문구 답십리로 223,서울특별시 동대무구 답십리로 3-39,02-2211-7155,24시간
742,공중화장실,대성산업㈜동마장 주유소 공중화장실,서울특별시 동대문구 고산자로 405,서울특별시 동대문구 용두동 40-9,02-966-5451,24시간
743,공중화장실,홍릉가스충전소 SK,서울특별시 동대문구 회기로 44,서울특별시 동대문구 청량리동 57-6,02-962-9100,24시간
744,공중화장실,우이신설도시철도 신설동역 여객화장실,서울특별시 동대문구 왕산로 1,서울특별시 신설동 132-30,02-3499-5575,05~24
745,개방화장실,맑은 수 병원,서울특별시 동대문구 천호대로83길 44,서울특별시 동대문구 장안동 431-6,02-2681-0119,24시간
746,개방화장실,서울치과병원,서울특별시 동대문구 망우로 82,서울특별시 동대문구 휘경동 29-1,02-3407-2875,09:00-18:00
747,개방화장실,경희의료원,서울특별시 동대문구 경희대로 23,서울특별시 동대문구 회기동 1-5,02-958-8114,24시간
749,개방화장실,공릉1동주민센터,서울특별시 노원구 동일로186길 3-24,서울특별시 노원구 공릉동 499-25,02-2116-2492,(평일)09:00~18:00
750,개방화장실,공릉2동주민센터,서울특별시 노원구 노원로1길 68,서울특별시 노원구 노원로1길 68,02-2116-2529,09:00~18:00
751,개방화장실,노원구청사(본관),서울특별시 노원구 노해로 437,서울특별시 노원구 상계동 701-1,02-2116-3083,09:00~18:00
752,개방화장실,노원구청사(별관),서울특별시 노원구 노해로 437,서울특별시 노원구 상계동 701-1,02-2116-3083,09:00~18:00
996,공중화장실,은평세무서 공중화장실,서울특별시 은평구 서오릉로 7,서울특별시 은평구 응암동 84-5,02-2132-9245,09:00-18:00
998,공중화장실,신림역(2),서울특별시 관악구 남부순환로 1614,서울특별시 관악구 신림동 1467-10 2호선 신림역사,02-6110-2301,05:00~24:00
999,공중화장실,봉천역(2),서울특별시 관악구 남부순환로 1721,서울특별시 관악구 봉천동 979-7 2호선 봉천역사,02-6110-2291,05:00~24:00
1000,공중화장실,서울대입구역(2),서울특별시 관악구 남부순환로 1822,서울특별시 관악구 봉천동 979-2 서울대입구역사,02-6110-2281,05:00~24:00
1001,공중화장실,낙성대역(2),서울특별시 관악구 남부순환로 1928,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,02-6110-2271,05:00~24:00
1002,개방화장실,경기버스라운지,"서울특별시 관악구 과천대로 943 3층,4층","서울특별시 관악구 남현동 1061-21 3층,4층",02-584-2021,10:00~22:00
1003,공중화장실,대학동주민센터,서울특별시 관악구 신림로 111,서울특별시 관악구 신림동 1516,02-879-4803,09:00~18:00
1004,공중화장실,보라매동주민센터,서울특별시 관악구 봉천로 279-8,서울특별시 관악구 봉천동 661,02-879-4201,09:00~18:00
1005,개방화장실,미성체육관,서울특별시 관악구 난우16길 37,서울특별시 관악구 신림동 산197-3,02-2081-2640,06:00~20:00
1006,개방화장실,국사봉체육관,서울특별시 관악구 국회단지길 144,서울특별시 관악구 봉천동 산103-52,02-2081-2690,06:00~20:00
1007,개방화장실,구민운동장,서울특별시 관악구 낙성대로 40,서울특별시 관악구 봉천동 산56-117,02-2081-2660,06:00~20:00
1008,개방화장실,신림체육센터,서울특별시 관악구 난곡로58길 13,서울특별시 관악구 신림동 산197-31,02-2029-4505,06:00~21:00
1009,개방화장실,관악구민종합체육센터,서울특별시 관악구 낙성대로3길 37,서울특별시 관악구 봉천동 225,02-870-7614,06:00~21:00
1010,개방화장실,관악청소년센터,서울특별시 관악구 신림로23길 17,서울특별시 관악구 신림동 1522,02-879-6173,06:00~21:00
1011,공중화장실,관악세무서,서울특별시 관악구 문성로 187,서울특별시 관악구 신림동 438-2,02-2173-4246,(평일)09:00∼18:00
1012,공중화장실,관악청년청,서울특별시 관악구 남부순환로1759,서울특별시 관악구 봉천동912-26,02-883-8110,화-토 : 10:00~21:00 일 : 10:00~18:00
1013,공중화장실,서원역,서울특별시 관악구 신림동 808-407,서울특별시 관악구 신림동 808-407,028-9022-27~8,(평일)05:30~12:54(주말/공휴일)05:30~11:55
1014,공중화장실,서울대벤처타운역,서울특별시 관악구 신림동 110-10,서울특별시 관악구 신림동 110-10,028-9022-27~8,(평일)05:30~12:54(주말/공휴일)05:30~11:55
1023,공중화장실,난향동주민센터,서울특별시 관악구 난곡로 67,서울특별시 관악구 신림동 1735-5,02-879-4660,09:00~18:00
1024,공중화장실,신원동주민센터,"서울특별시 관악구 신원로3길 13, 신원동 복합청사 (신림동)",서울특별시 관악구 신림동 1601-3 신원동 복합청사,02-879-4713,09:00~18:00
1025,공중화장실,청림동주민센터,서울특별시 관악구 관악로40길 39,서울특별시 관악구 봉천동 1000,02-879-4321,09:00~18:00
1026,공중화장실,성현동주민센터,서울특별시 관악구 구암길 38,서울특별시 관악구 봉천동 1712-9,02-879-4261,09:00~18:00
1027,공중화장실,신사동주민센터,"서울특별시 관악구 조원로 142, 신사동복합청사 (신림동)",서울특별시 관악구 신림동 492-4 신사동복합청사,02-879-4531,09:00~18:00
1028,공중화장실,난곡동주민센터,서울특별시 관악구 난곡로30길 40,서울특별시 관악구 신림동 633-56,02-879-4621,09:00~18:00
1029,공중화장실,청룡동주민센터,서울특별시 관악구 쑥고개로 44,서울특별시 관악구 봉천동 1539-1,02-879-4383,09:00~18:00
1030,공중화장실,조원동주민센터,서울특별시 관악구 조원로12길 25,서울특별시 관악구 조원동 568-27,02-879-4563,09:00~18:00
1031,공중화장실,인헌동주민센터,서울특별시 관악구 남부순환로246가길 20,서울특별시 관악구 봉천동 1635-40,02-879-4446,09:00~18:00
1032,공중화장실,서원동주민센터,서울특별시 관악구 신림로 282,서울특별시 관악구 신림동 1641-65,02-879-4683,09:00~18:00
1033,공중화장실,서림동주민센터,서울특별시 관악구 신림로29길 6,서울특별시 관악구 신림동 1694-7,02-879-4743,09:00~18:00
1034,공중화장실,삼성동주민센터,서울특별시 관악구 호암로 589,서울특별시 관악구 신림동 1528,02-879-4771,09:00 ~ 18:00
1035,공중화장실,은천동주민센터,서울특별시 관악구 봉천로33나길 30 은천동 복합청사,서울특별시 관악구 봉천동 905-29,02-879-4231,09:00 ~ 18:00
1036,공중화장실,미성동주민센터,서울특별시 관악구 난곡로 249,서울특별시 관악구 신림동 763-9,02-879-4591,09:00~18:00
1037,공중화장실,낙성대동주민센터,서울특별시 관악구 낙성대로4가길 5,서울특별시 관악구 봉천동1624-24,02-879-4415,09:00~18:00
1038,공중화장실,남현동주민센터,서울특별시 관악구 남현1가길 29,서울특별시 관악구 남현동 1086-1,02-879-4471,09:00~18:00
1039,공중화장실,행운동주민센터,서울특별시 관악구 행운1길 43,서울특별시 관악구 봉천동 1670-7,02-879-4353,09:00~18:00
1040,공중화장실,중앙동주민센터,서울특별시 관악구 양녕로6다길7,서울특별시 관악구 봉천동1512-7,02-879-4293,09:00~18:00
1041,공중화장실,신림동주민센터,서울특별시 관악구 신림동길 14,서울특별시 관악구 신림동 1439-3,02-879-4501,09:00~18:00
1042,공중화장실,보건소,서울특별시 관악구 관악로 145,서울특별시 관악구 봉천동 1570-1,02-879-7106,09:00~18:00
1043,공중화장실,민방위교육장,서울특별시 관악구 문성로16다길 135,서울특별시 관악구 신림동 737,02-879-5825,09:00~18:00
1085,개방화장실,책이랑놀이랑도서관,서울특별시 관악구 행운1길 12,서울특별시 관악구 봉천동 1675-12,02-879-5721,09:00~18:00
1086,개방화장실,조원도서관,서울특별시 관악구 조원로12길 25,서울특별시 관악구 신림동 568-27,02-879-5721,09:00~20:00
1087,공중화장실,김삼준문화복지기념관,서울특별시 관악구 신림로3길 35,서울특별시 관악구 신림동 209-1,02-879-5721,09:00~18:00
1088,공중화장실,관악문화도서관,서울특별시 관악구 신림로3길 35,서울특별시 관악구 신림동 209-1,02-879-5721,07:00~23:00
1089,공중화장실,은천동작은도서관,서울특별시 관악구 봉천로33나길 30,서울특별시 관악구 봉천동 905-29,02-879-5721,09:00~20:00
1090,공중화장실,하난곡작은도서관,서울특별시 관악구 난우10가길 20-7,서울특별시 관악구 신림동 597-96,02-879-5721,09:00~18:00
1091,공중화장실,성현동작은도서관,서울특별시 관악구 관악로37길 56,서울특별시 관악구 봉천동 1703-1,02-879-5721,09:00~22:00
1092,공중화장실,글빛정보도서관 화장실,서울특별시 관악구 관악로30길 23,서울특별시 관악구 봉천동 1717-4,02-879-5721,09:00~22:00
1093,공중화장실,청소년독서실,서울특별시 관악구 난곡로 58길 15,서울특별시 관악구 신림동 산197-31,02-879-6173,09:00~18:00
1094,공중화장실,시립관악노인종합복지관,서울특별시 관악구 보라매로 35,서울특별시 관악구 봉천동 726-3,02-888-6144,09:00~18:00
1095,공중화장실,돌샘경로당,"서울특별시 관악구 호암로18나길 5, 지하1층",서울특별시 관악구 신림동 306-12,02-888-6144,09:00~18:00
1096,공중화장실,강남경로당,서울특별시 관악구 조원로4길 24,서울특별시 관악구 신림동 1657-3,02-888-6144,09:00~18:00
1097,공중화장실,조원경로당,서울특별시 관악구 조원로 48,서울특별시 관악구 신림동 560-6,02-888-6144,09:00~18:00
1098,공중화장실,덕양경로당,서울특별시 관악구 인헌4길 20,서울특별시 관악구 봉천동 1637-13,02-888-6144,09:00~18:00
1099,공중화장실,밤골경로당,서울특별시 관악구 인헌3가길 8,서울특별시 관악구 봉천동 1642-4,02-888-6144,09:00~18:00
1100,공중화장실,성현경로당 화장실,서울특별시 관악구 은천로35길 40-3,서울특별시 관악구 봉천동 41-34,02-888-6144,09:00~18:00
1101,공중화장실,중앙경로당 화장실,서울특별시 관악구 은천로26길 14,서울특별시 관악구 봉천동 457-208,02-888-6144,09:00~15:00
1102,공중화장실,구암경로당 화장실,서울특별시 관악구 은천로23길 19,서울특별시 관악구 봉천동 480-111,02-888-6144,09:00~18:00
1103,공중화장실,국사봉경로당,서울특별시 관악구 은천로15길 13-2,서울특별시 관악구 봉천동 622-70,02-888-6144,09:00~18:00
1104,공중화장실,율곡경로당,서울특별시 관악구 원신길 260,서울특별시 관악구 신림동 321-6,02-888-6144,09:00~18:00
1105,공중화장실,원신경로당,서울특별시 관악구 양지10길 15-1,서울특별시 관악구 신림동 368-8,02-888-6144,09:00~18:00
1106,공중화장실,장수경로당,서울특별시 관악구 양녕로6다길 11-4,서울특별시 관악구 봉천동 1512-9,02-888-6144,09:00~15:00
1107,공중화장실,삼광경로당,서울특별시 관악구 약수암길 33,서울특별시 관악구 신림동 316-95,02-888-6144,09:00~18:00
1108,공중화장실,서광경로당,"서울특별시 관악구 쑥고개로2다길 30, 102호",서울특별시 관악구 신림동 1564-15,02-888-6144,09:00~18:00
1109,공중화장실,색동경로당,서울특별시 관악구 신림로70길 74,서울특별시 관악구 신림동 1418-1,02-888-6144,09:00~18:00
1110,공중화장실,신관경로당,서울특별시 관악구 신림로48길 25,서울특별시 관악구 신림동 91-50,02-888-6144,09:00~18:00
1111,공중화장실,행복경로당,서울특별시 관악구 신림로36길 12-10,서울특별시 관악구 신림동 94-115,02-888-6144,09:00~18:00
1112,공중화장실,난향경로당,서울특별시 관악구 난곡로9길 29-2,서울특별시 관악구 신림동 679-6,02-888-6144,09:00~18:00
1113,공중화장실,서원경로당,서울특별시 관악구 서원3길 10,서울특별시 관악구 신림동 409-26,02-888-6144,09:00~18:00
1114,공중화장실,서림경로당,서울특별시 관악구 서림3길 47,서울특별시 관악구 신림동 103-141,02-888-6144,09:00~18:00
1115,공중화장실,은천경로당,서울특별시 관악구 봉천로27길 45,서울특별시 관악구 봉천동 936-6,02-888-6144,09:00~18:00
1116,공중화장실,보라매경로당,서울특별시 관악구 봉천로21길 35,서울특별시 관악구 봉천동 662-109,02-888-6144,09:00~18:00
1117,공중화장실,신일경로당,서울특별시 관악구 문성로32길 18,서울특별시 관악구 신림동 1630-30,02-888-6144,09:00~18:00
1118,공중화장실,대학경로당,서울특별시 관악구 대학길 78,서울특별시 관악구 신림동 818-78,02-888-6144,09:00~18:00
1119,공중화장실,당곡경로당,서울특별시 관악구 당곡6길 37,서울특별시 관악구 봉천동 717-17,02-888-6144,09:00~18:00
1120,공중화장실,시니어클럽,서울특별시 관악구 남부순환로247다길 60,서울특별시 관악구 봉천동 1690-40,02-888-6144,09:00~18:00
1121,공중화장실,신본경로당,서울특별시 관악구 남부순환로200다길 7,서울특별시 관악구 신림동 1510-6,02-888-6144,09:00~18:00
1122,공중화장실,신원경로당,서울특별시 관악구 남부순환로168길 9,서울특별시 관악구 신림동 1581-62,02-888-6144,09:00~18:00
1123,공중화장실,국회단지경로당,서울특별시 관악구 난향길51(지하1층),서울특별시 관악구 신림동 673-12,02-888-6144,09:00~18:00
1124,공중화장실,인헌경로당,서울특별시 관악구 낙성대역3길 6-6,서울특별시 관악구 봉천동 1709-5,02-888-6144,09:00~18:00
1125,공중화장실,국지경로당,서울특별시 관악구 국회단지21길 14,서울특별시 관악구 봉천동 635-68,02-888-6144,09:00~18:00
1126,공중화장실,새들경로당,서울특별시 관악구 관천로20길 43,서울특별시 관악구 신림동 1451-8,02-888-6144,09:00~18:00
1127,공중화장실,관악구장애인종합복지관,서울특별시 관악구 남부순환로 1914,서울특별시 관악구 봉천동 1660-4,02-877-0750,07:00~18:00
1128,공중화장실,성민복지관,서울특별시 관악구 호암로 549,서울특별시 관악구 호암로 549,02-876-0900,09:00~20:00
1129,공중화장실,중앙사회복지관,서울특별시 관악구 봉천로41길 33,서울특별시 관악구 봉천로41길 33,02-872-5802,09:00~19:00
1130,공중화장실,신림종합사회복지관,서울특별시 관악구 난곡로 110,서울특별시 관악구 난곡로 110,02-851-1767,08:00~20:00
1131,공중화장실,서울시립 남서울미술관,서울특별시 관악구 남부순환로 2076,서울특별시 관악구 남현동 1059-13,02-2124-8878,10:00~19:00
1132,개방화장실,선우체육관,서울특별시 관악구 문성로16다길 133-70,서울특별시 관악구 신림동 산117-8,02-2081-2665,06:00~20:00
1133,개방화장실,장군봉체육관,서울특별시 관악구 남부순환로194길 81-12,서울특별시 관악구 신림동 산170-130,02-2081-2645,06:00~20:00
1134,개방화장실,청룡산체육관,서울특별시 관악구 관악로5길 91-42,서울특별시 관악구 봉천동 산175-36,02-2081-2695,06:00~20:00
1143,개방화장실,약수역(3) 화장실,서울특별시 중구 다산로 지하 122,신당동 369-44,02-6110-3331,05:00~24:00
1144,개방화장실,DDP역(4)(지하1층) 화장실,서울특별시 중구 장충단로 지하 230,광희동2가 9,02-6110-4221,05:00~24:00
1145,개방화장실,DDP역(4)(지하2층),서울특별시 중구 장충단로 지하 230,광희동2가 9,02-6110-4221,05:00~24:00
1146,개방화장실,충무로역(4) 화장실,서울특별시 중구 퇴계로 지하 199,필동2가 16-2,02-6110-4231,05:00~24:00
1147,개방화장실,명동역(4),서울특별시 중구 퇴계로 지하 126,충무로2가 109-2,02-6110-4241,05:00~24:00
1148,개방화장실,회현역(4),서울특별시 중구 퇴계로 지하 54,남창동 64-1,02-6110-4251,05:00~24:00
1149,개방화장실,을지로4가역(5) 화장실,서울특별시 중구 창경궁로 지하 51,을지로4가 192,02-6311-5351,05:00~24:00
1150,개방화장실,동대문역사문화공원역(5) 화장실,서울특별시 중구 마른내로 지하 162,광희동1가 235-6,02-6311-5361,05:00~24:00
1151,개방화장실,버티고개역(6) 화장실,서울특별시 중구 다산로 지하 38,신당동 366-454,02-6311-6321,05:00~24:00
1152,개방화장실,약수역(6) 화장실,서울특별시 중구 다산로 지하 115,신당동 369-2,02-6311-6331,05:00~24:00
1153,개방화장실,청구역(6) 화장실,서울특별시 중구 청구로 지하 77,신당동 295-2,02-6311-5371,05:00~24:00
1154,개방화장실,신당역(6) 화장실,서울특별시 중구 다산로 지하 260,흥인동 162-1,02-6311-6351,05:00~24:00
1158,개방화장실,중구문화원,서울특별시 중구 청계천로 86,장교동 1,02-771-3001,09:00~18:00
1159,개방화장실,가온도서관,서울특별시 중구 동호로14길 18,신당동 425-11,02-2280-8470,09:00~18:00
1160,개방화장실,어울림도서관,서울특별시 중구 다산로38길 66-35,신당동 52-164,02-2280-8490,09:00~18:00
1161,개방화장실,회현체육센터,서울특별시 중구 퇴계로 12길 78,회현동1가 115,02-2280-8430,09:00~18:00
1162,개방화장실,무학봉체육관,서울특별시 중구 난계로6길 8,신당동 산12-75,02-3396-4133,09:00~18:00
1163,개방화장실,손기정문화체육센터,서울특별시 중구 손기정로 101,만리동2가 6-1,02-2280-8300,09:00~18:00
1164,개방화장실,약수노인종합복지관,서울특별시 중구 다산로6길 11,신당동 366-18,02-2234-3515,09:00~18:00
1165,개방화장실,중구청소년센터,서울특별시 중구 동호로5길 19,신당동 844-5,02-2250-0500,09:00~18:00
1166,개방화장실,유락종합사회복지관,서울특별시 중구 퇴계로 460,신당동 160-2,02-2235-4000,09:00~18:00
1167,개방화장실,신당종합사회복지관,서울특별시 중구 동호로11길 22,신당동 361-18,02-2231-1879,09:00~18:00
1168,개방화장실,국립중앙의료원,서울특별시 중구 을지로 245,을지로6가 18-79,02-2260-7114,09:00~18:00
1169,개방화장실,쌍문1동주민센터 화장실,"서울특별시 도봉구 노해로 147, 쌍문1동주민센터 (쌍문동)",서울특별시 도봉구 쌍문동 378-45 쌍문1동주민센터,02-2091-5504,09:00-18:00
1170,공중화장실,창동노인복지센터 화장실,"서울특별시 도봉구 덕릉로60차길 6, 창동노인복지센터 (창동)",서울특별시 도봉구 창동 467-4 창동노인복지센터,02-906-2968,09:00-18:00
1171,공중화장실,도봉구청사 화장실,서울특별시 도봉구 마들로 656,서울특별시 도봉구 방학동 720,02-2091-2144,08:00~19:00
1172,공중화장실,쌍문1동 주민센터,서울특별시 도봉구 노해로 147,서울특별시 도봉구 쌍문동 378-45,02-2091-5522,09:00-18:00
1173,공중화장실,쌍문2동 주민센터,서울특별시 도봉구 도봉로137길 21,서울특별시 도봉구 쌍문동 713-31,202-091-5529,09:00~18:00
1174,공중화장실,서울북부지방검찰청 민원실,"서울특별시 도봉구 마들로 747, 서울북부지방검찰청 (도봉동)",서울특별시 도봉구 도봉동 626-20 서울북부지방검찰청,02-3399-4285,09:00~18:00
1175,공중화장실,쌍문3동 주민센터,서울특별시 도봉구 노해로44길 9,서울특별시 도봉구 쌍문동 327,02-2091-5555,09:00~18:00
1176,공중화장실,쌍문4동 주민센터,서울특별시 도봉구 시루봉로 62-7,서울특별시 도봉구 쌍문동 59-7,02-2091-5114,09:00~18:00
1177,공중화장실,방학1동 주민센터,서울특별시 도봉구 방학로2길 27,서울특별시 도봉구 방학동 687-27,02-2091-5615,09:00~18:00
1178,공중화장실,방학2동 주민센터,서울특별시 도봉구 시루봉로 226,서울특별시 도봉구 방학동 621-2,02-2091-5630,09:00~18:00
1179,공중화장실,방학3동 주민센터,서울특별시 도봉구 시루봉로 94,서울특별시 도봉구 방학동 273,02-2091-5658,09:00-18:00
1180,공중화장실,창1동 주민센터,서울특별시 도봉구 해등로 46,서울특별시 도봉구 창동 347-5,02-2091-5118,09:00~18:00
1181,공중화장실,창2동 주민센터,서울특별시 도봉구 덕릉로59길 73-3,서울특별시 도봉구 창동 632-73,02-2091-5119,09:00~18:00
1182,공중화장실,창3동 주민센터,서울특별시 도봉구 덕릉로62길 89,서울특별시 도봉구 창동 462-2,02-2091-5728,09:00~18:00
1183,공중화장실,창4동 주민센터,서울특별시 도봉구 노해로 390,서울특별시 도봉구 창동 33-1,02-2091-5754,09:00-18:00
1184,공중화장실,창5동 주민센터,서울특별시 도봉구 도봉로136나길 20,서울특별시 도봉구 창동 224-41,02-2091-5777,09:00~18:00
1185,공중화장실,도봉1동 주민센터,서울특별시 도봉구 도봉로169나길 22,서울특별시 도봉구 도봉동 593-69,02-2091-5806,07:00~20:00
1186,공중화장실,도봉2동 주민센터,서울특별시 도봉구 마들로 668,서울특별시 도봉구 도봉동 636-9,02-2091-5828,09:00~18:00
1187,공중화장실,도봉구보건소,서울특별시 도봉구 방학로3길 117,서울특별시 도봉구 쌍문동 565,02-2091-4405,08:00~18:00
1188,공중화장실,도봉구민회관,서울특별시 도봉구 도봉로 552,서울특별시 도봉구 창동 303,02-901-5186,09:00~22:00
1189,공중화장실,창동문화체육센터,서울특별시 도봉구 노해로69길 132,서울특별시 도봉구 창동 1-6,02-901-5028,05:30-23:00
1190,공중화장실,도봉청소년독서실,서울특별시 도봉구 마들로 605,서울특별시 도봉구 방학동 713-13,02- 901-5144,09:00~22:00
1191,공중화장실,도봉문화정보도서관,서울특별시 도봉구 덕릉로 315,서울특별시 도봉구 창동 418,02-900-1835,09:00~22:00
1192,공중화장실,도봉아이나라도서관,서울특별시 도봉구 노해로69길 151,서울특별시 도봉구 창동 808-1,02-995-4171,09:00-20:00
1193,공중화장실,도봉 기적의 도서관,서울특별시 도봉구 마들로 797,서울특별시 도봉구 도봉동 652-1,02-3493-7171,(평일)09:00-20:00+(주말)09:00~17:00
1194,공중화장실,학마을도서관,서울특별시 도봉구 시루봉로 128,서울특별시 도봉구 방학동 446-5,02-955-0655,(평일)09:00-20:00+(주말)09:00-18:00
1195,개방화장실,서울시청 본관 B1층 시민청 외부,서울특별시 중구 세종대로 110,태평로1가 31,02-2133-5662,07:00~22:00
1196,개방화장실,서울시청 서소문청사 1층 로비,서울특별시 중구 덕수궁길 15,서소문동 37,02-2133-5662,08:00~22:00
1197,개방화장실,서울특별시 중부수도사업소,서울특별시 중구 장충단로 88,장충동2가 208-1,02-3146-2021,07:00~23:00
1198,공중화장실,남산예술센터,서울특별시 중구 소파로 138,예장동 8-19,02-758-2110,08:00~22:00
1199,개방화장실,시립미술관 서소문본관,서울특별시 중구 덕수궁길 61,서소문동 37,02-2124-8874,10:00~19:00
1201,개방화장실,남산골한옥마을 중앙화장실,서울특별시 중구 퇴계로 34길 28,필동2가 84-1,02-2264-4412,08:00~20:00
1202,개방화장실,훈련원공원 공영주차장,서울특별시 중구 을지로 227,을지로5가 40-3,02-3405-4596,정시
1203,개방화장실,장충체육관 B,서울특별시 중구 동호로 241,장충동2가 200-102,02-2128-2836,정시
1204,공중화장실,시청A 지하상가,서울특별시 중구 을지로 지하12,을지로1가 50-1,02-2290-6391,06:00~24:00
1205,공중화장실,을지입구 지하상가,서울특별시 중구 을지로 지하58,을지로2가 9-7,02-2290-6538,06:00~24:00
1206,공중화장실,을지3구역 지하상가,서울특별시 중구 을지로 지하131,을지로3가 282-8,02-2290-6392,06:00~24:00
1207,공중화장실,을지4구역A 지하상가,서울특별시 중구 을지로 지하218,을지로5가 35-6,02-2290-6393,06:00~24:00
1208,공중화장실,을지4구역B 지하상가,서울특별시 중구 을지로 지하218,을지로5가 35-6,02-2290-6393,06:00~24:00
1209,공중화장실,인현 지하상가,서울특별시 중구 마른내로 지하70,인현동2가 120-22,02-2290-6390,06:00~24:00
1210,공중화장실,신당A 지하상가,서울특별시 중구 마장로 87,황학동 119,02-2290-6430,06:00~24:00
1211,공중화장실,신당B 지하상가,서울특별시 중구 마장로 87,황학동 119,02-2290-6430,06:00~24:00
1212,공중화장실,신당C 지하상가,서울특별시 중구 마장로 87,황학동 119,02-2290-6430,06:00~24:00
1215,공중화장실,회현지하상가,서울특별시 중구 소공로 지하58,충무로1가 52-41,02-2290-6542,05:00~24:00
1216,공중화장실,남대문지하상가,서울특별시 중구 남대문로 지하14,남대문로3가 13-3,02-2290-6254,05:00~24:00
1217,공중화장실,쌍문채움도서관,서울특별시 도봉구 우이천로 340,서울특별시 도봉구 쌍문동 381-9,02-998-0910,(평일)09:00~20:00+(주말)09:00~17:00
1218,공중화장실,김근태기념도서관,서울특별시 도봉구 도봉산길 14,서울특별시 도봉구 도봉동 279,02-956-3100,(평일)09:00-20:00+(주말)09:00-17:00
1219,공중화장실,노원세무서,"서울특별시 도봉구 노해로69길 14, 노원세무서 (창동)",서울특별시 도봉구 창동 15 노원세무서,02-3499-0245,09:00~18:00
1220,공중화장실,원당마을한옥도서관,서울특별시 도봉구 해등로32가길 17,서울특별시 도봉구 방학동 543-2,02-906-2022,(평일)09:00~18:00+ (주말)09:00~17:00
1221,공중화장실,무수골도서관,서울특별시 도봉구 도봉로175길 10,서울특별시 도봉구 도봉동 577,02-3492-0078,09:00~18:00
1222,공중화장실,둘리뮤지엄(둘리도서관),서울특별시 도봉구 시루봉로1길 6,서울특별시 도봉구 쌍문동 산240-5,02-990-2200,(평일)10:00-18:00+(주말)10:00-18:00
1223,공중화장실,함석헌기념관,서울특별시 도봉구 도봉로123길 33-6,서울특별시 도봉구 쌍문동 81-78,02-905-7007,09:00~18:00
1224,공중화장실,김수영문학관,서울특별시 도봉구 해등로32길 80,서울특별시 도봉구 방학동 498-31,02-3494-1128,09:00~18:00
1225,공중화장실,간송옛집,서울특별시 도봉구 시루봉로 149-18,서울특별시 도봉구 방학동 430,02-954-5757,09:00~18:00
1226,공중화장실,도봉실버센터,서울특별시 도봉구 시루봉로 133,서울특별시 도봉구 방학동 441-1,02-955-6080,09:00~18:00
1227,공중화장실,쌍문동어르신복지관,서울특별시 도봉구 우이천로 363,서울특별시 도봉구 쌍문동 361-8,02-900-4641,09:00~18:00
1228,공중화장실,방학동어르신복지관,서울특별시 도봉구 시루봉로15라길 59-9,서울특별시 도봉구 방학동 393-5,02-3491-4651,09:00~18:00
1229,공중화장실,도봉동어르신복지관,서울특별시 도봉구 도봉로169가길 52,서울특별시 도봉구 도봉동 580-5,02-3491-3356,09:00~18:00
1230,공중화장실,시립도봉노인복지관,서울특별시 도봉구 도당로2길 12-13,서울특별시 도봉구 쌍문동 19-12,02-993-9900,09:00~18:00
1231,공중화장실,도봉서원종합사회복지관,서울특별시 도봉구 마들로 668,서울특별시 도봉구 도봉동 636-9,02-3494-4755,09:00-20:00
1232,공중화장실,방아골종합사회복지관,서울특별시 도봉구 시루봉로17길 42,서울특별시 도봉구 방학동 396-19,02-3491-0500,09:00~20:00
1233,공중화장실,창동종합사회복지관,서울특별시 도봉구 덕릉로 329,서울특별시 도봉구 창동 374,02-993-3222,09:00~21:00
1234,공중화장실,쌍문동청소년랜드,서울특별시 도봉구 노해로 140,서울특별시 도봉구 쌍문동 381-4,02-999-0170,09:00~21:00
1235,공중화장실,창동청소년문화의집,서울특별시 도봉구 덕릉로62길 89,서울특별시 도봉구 창동 462-2,02-908-0924,09:00~21:00
1236,공중화장실,도봉동청소년문화의집,서울특별시 도봉구 도봉로180나길 33-61,서울특별시 도봉구 도봉동 58-2,02-6953-3256,09:00~21:00
1237,공중화장실,쌍문동청소년문화의집,서울특별시 도봉구 시루봉로2길 34,서울특별시 도봉구 쌍문동 산80-1,02-908-0457,(화-토)9:00~21:00+(일) 9:00~18:00
1238,공중화장실,도봉청소년누리터위드,서울특별시 도봉구 덕릉로59길 18,서울특별시 도봉구 창동 601-41,02-903-1318,(평일) 09:00~21:00+(주말) 09:00~18:00
